Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,26.396018981933594,26.59548460923424,25.747752522777674,25.747752522777674,212976
2002-08-13,26.038637161254883,26.85312529053821,25.847483155669657,26.429259303868008,153576
2002-08-14,24.24344825744629,26.096820138064572,23.753091964631068,26.096820138064572,822776
2002-08-15,24.24344825744629,24.24344825744629,24.24344825744629,24.24344825744629,0
2002-08-16,24.185264587402344,25.265705960722723,23.769710213048352,24.118776902042754,811856
2002-08-19,23.586872100830078,24.384737237794052,23.362474195534286,24.384737237794052,205880
2002-08-20,24.24344825744629,25.747753376457663,23.59518177679676,23.753091964631068,3773624
2002-08-21,25.431930541992188,26.063573768604364,24.28500135561597,25.58152911887851,3011064
2002-08-22,26.529001235961914,27.642686828214174,26.1383789775627,26.27135692955031,6732480
2002-08-23,28.124727249145508,29.005703271242748,26.437577041888485,26.76170903535864,4841672
2002-08-26,28.024991989135742,28.756366777019867,27.80059158067383,28.57352181187735,2576912
2002-08-27,27.32685089111328,29.421245664842356,27.09414148796217,28.25769357640226,3694224
2002-08-28,27.3518123626709,27.659321335743986,26.786656417841463,27.24376661293326,1674960
2002-08-29,27.3518123626709,27.842166428318603,27.0941679272593,27.185590473546608,1236544
2002-08-30,29.28828239440918,30.003036684181943,27.426598630969643,27.434910228732583,3762384
2002-09-02,29.58749008178711,30.568198008162593,29.288290236612553,29.753711936179172,2389568
2002-09-03,28.199514389038086,29.878354811627478,27.92524955968521,29.75368851895031,986784
2002-09-04,28.814546585083008,29.0888115076176,27.518016193474864,27.84214815729113,1449856
2002-09-05,28.640016555786133,29.828501407452496,28.25770590973864,29.69552346060858,1061360
2002-09-06,27.576183319091797,28.75635858781052,27.268674647906114,28.75635858781052,907472
2002-09-09,27.21882438659668,28.382377184802337,26.263048873784886,26.263048873784886,880848
2002-09-10,27.21882438659668,27.21882438659668,27.21882438659668,27.21882438659668,0
2002-09-11,27.90863037109375,28.39067496031043,27.368409692098513,27.368409692098513,635936
2002-09-12,28.04994010925293,28.739759844068647,27.85878597637949,28.249405842760957,781968
2002-09-13,27.252058029174805,28.074855263628674,27.019348571305603,27.069215608375536,338264
2002-09-16,26.72016143798828,27.659313842577465,26.512384132871734,27.50971519743117,288592
2002-09-17,27.501384735107422,27.675918058963944,27.110765191215723,27.202185113687996,462952
2002-09-18,26.653656005859375,27.426586052810727,26.429255650890337,27.343475185984026,315432
2002-09-19,26.429258346557617,27.31023413204473,26.096814845343058,26.429258346557617,490848
2002-09-20,25.997085571289062,26.37939617540807,25.37375389164169,25.481799571253095,501072
2002-09-23,25.556591033935547,26.246410200152,25.44854792377616,26.17992252256812,248504
2002-09-24,24.692249298095703,25.465179666105257,24.417981801837513,25.465179666105257,267912
2002-09-25,24.88340187072754,25.099490708600033,23.935938159194734,24.11878314578145,379544
2002-09-26,25.27402687072754,25.672958202604462,25.09949346190255,25.39869322898202,178136
2002-09-27,25.58153533935547,25.930602152094146,25.190915610793496,25.190915610793496,206288
2002-09-30,24.65069580078125,25.581536447846755,24.11878649726616,25.190916702358567,202232
2002-10-01,24.442914962768555,25.099490532339242,24.01904888690742,24.76704694912945,240192
