Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2000-01-03,13.244405746459961,13.244405746459963,12.497203742245231,12.497203742245231,62409578
2000-01-04,14.304694175720215,14.304694175720215,13.223356674853315,13.596956983713564,132872110
2000-01-05,14.865093231201172,15.149240538122392,13.504870928509012,13.504870928509012,375789847
2000-01-06,15.488641738891602,15.822778678677377,15.207126925606026,15.207126925606026,219621124
2000-01-07,16.551557540893555,16.727835075094596,15.417600887396045,15.522840891648316,278281260
2000-01-10,16.23321533203125,16.769937495829616,16.064832652205656,16.701532515305974,187897934
2000-01-11,15.180813789367676,16.362128940699026,14.936131276622568,16.204269617777747,175675797
2000-01-12,15.875397682189941,16.0490426846336,14.846680739194255,15.20712662683392,169586471
2000-01-13,16.409481048583984,16.64890254392939,16.001678386641057,16.10165602200432,239139851
2000-01-14,16.643646240234375,16.92516242673883,16.28583156320015,16.28583156320015,188507616
2000-01-17,16.246362686157227,16.990931983121296,16.156908336391904,16.746250920174337,150255809
2000-01-18,16.533145904541016,16.78309081738908,16.07798467592501,16.25952321315505,141210936
2000-01-19,16.81728744506836,17.096172392570196,16.638380146775532,16.988301216235772,160790093
2000-01-20,16.462108612060547,17.096177157149835,16.341082928997373,16.838340137915896,216069957
2000-01-21,17.172468185424805,17.280339344921178,16.417374285577278,16.454207928661205,239994540
2000-01-24,17.16194725036621,17.461880192430637,16.943575131581436,17.127743372333015,184344232
2000-01-25,16.835708618164062,17.117224814090264,16.746255648683157,17.10406893214973,136584272
2000-01-26,16.835708618164062,16.835708618164062,16.835708618164062,16.835708618164062,0
2000-01-27,17.625001907348633,17.722346973878768,16.98040884559039,17.311913085771526,210269961
2000-01-28,17.803909301757812,17.99071014021925,17.44872585608027,17.67499152183921,164331247
2000-01-31,17.26719093322754,17.6802575227019,17.182998909471518,17.598696675381127,142723553
2000-02-01,17.577646255493164,17.75655357863377,17.259296439234983,17.406631055031497,149956451
2000-02-02,17.89862632751465,18.2538112128938,17.814435718581134,18.043331176702985,139355731
2000-02-03,17.977554321289062,18.07490220745718,17.701300529276377,17.99597255259641,94831223
2000-02-04,18.109107971191406,18.27749060954802,17.98019016743088,18.10121584759795,99528064
2000-02-07,18.080169677734375,18.38799628609261,17.78813013047902,17.948620674012737,114747088
2000-02-08,18.017017364501953,18.25380628716278,17.945979844378243,18.180137591603852,90057597
2000-02-09,18.437978744506836,18.661611824277152,18.143306728179265,18.364310037653617,160165902
2000-02-10,18.71949577331543,19.143085618918537,18.148571307010595,18.353788992179798,151143675
2000-02-11,19.11677360534668,19.6798058998927,18.945759819561797,19.15360866287119,114214724
2000-02-14,18.527433395385742,18.990488057990646,18.416931027737533,18.890510394662638,71806185
2000-02-15,18.119632720947266,18.64846122471747,17.998607040484703,18.522173191484463,113776526
2000-02-16,18.3195858001709,18.616887634517784,18.05385667541282,18.416932294112545,110304203
2000-02-17,18.656354904174805,18.774749409205974,18.28538433064279,18.295907630725516,107425289
2000-02-18,18.387990951538086,18.83525996441183,18.311692467181956,18.78000807766731,70451511
2000-02-21,18.188032150268555,18.522167555286096,17.977552158928166,18.332736968622257,41234633
2000-02-22,17.593433380126953,18.25907319412877,17.496086884951985,18.20645388487127,100723088
2000-02-23,17.35401153564453,18.138047179807625,17.222462572374937,18.138047179807625,67665446
2000-02-24,17.719717025756836,17.92756444062123,17.327698560191447,17.517130556636793,79319185
2000-02-25,17.290868759155273,18.043331749973273,17.159319786513567,17.964402085279676,54786600
2000-02-28,17.52765655517578,17.746028706271293,16.31213895865243,17.093543429033748,70386208
2000-02-29,16.35686492919922,18.04069941027334,16.125338320545723,17.78023127276683,139625441
2000-03-01,16.66994857788086,17.35663753127154,15.73331765275775,16.575233296374595,150769883
2000-03-02,15.351828575134277,16.943577641637102,15.338672694886974,16.777824794863168,175562684
2000-03-03,14.125783920288086,15.054522850473845,14.125783920288086,15.054522850473845,64935300
2000-03-06,13.362796783447266,14.936128805678049,12.997090068433286,14.125784321704531,146075956
2000-03-07,12.749780654907227,13.628531781931878,12.628754966422214,13.523291747261641,133888438
2000-03-08,12.257783889770508,13.181260659512493,12.102555740993362,12.991830031811558,101621246
2000-03-09,12.170960426330566,12.75504075882593,11.794728949964355,12.413011760617705,77665531
2000-03-10,11.410605430603027,12.355130950436045,11.292210931435818,12.313034941104208,92389443
2000-03-13,10.692341804504395,12.076242438978946,10.539744869107995,11.571092581874986,150763063
2000-03-14,11.534261703491211,11.550047354812747,10.37399454544468,10.813370039560521,141532996
2000-03-15,12.45773983001709,12.45773983001709,11.365878274671758,11.786836963546378,79982280
2000-03-16,12.357759475708008,13.0391861965793,12.107814649611608,12.602440544838514,147946692
2000-03-17,12.357759475708008,12.357759475708008,12.357759475708008,12.357759475708008,0
2000-03-20,12.357759475708008,12.357759475708008,12.357759475708008,12.357759475708008,0
2000-03-21,12.518254280090332,12.776091316970055,11.976269845655626,12.565611242654118,95762643
2000-03-22,12.807660102844238,13.076021793356766,12.69189678754189,12.89185211598878,69064318
2000-03-23,12.678742408752441,12.93394822068298,12.55245438807756,12.905006688866436,60024739
2000-03-24,12.66032600402832,12.783981447164408,12.505097851898224,12.586657286737532,36941526
2000-03-27,13.673257827758789,13.673257827758789,12.786614650819972,12.786614650819972,58001578
2000-03-28,14.767746925354004,14.767746925354004,13.844268869975965,13.844268869975965,98405624
2000-03-29,14.2757568359375,15.254484279948477,14.154731142385254,14.98612393723217,143934962
2000-03-30,15.41759967803955,15.41759967803955,13.591693126585549,14.15472534824267,240432206
2000-03-31,16.651535034179688,16.651535034179688,14.73880658414952,15.628079340785341,275945423
2000-04-03,17.290868759155273,17.559230462439217,16.7383611063001,17.240880627435995,299036394
2000-04-04,15.909597396850586,17.154056544929382,15.909597396850586,17.154056544929382,189486468
2000-04-05,15.90433406829834,16.417376785378995,14.641458282249538,15.964845487191194,352720260
2000-04-06,17.565053939819336,17.581210367866106,16.294057624198384,16.31829298554679,227418526
2000-04-07,18.97069549560547,18.97069549560547,17.761632943685587,17.761632943685587,163657523
2000-04-10,19.633119583129883,20.465190963394537,19.361147454366822,19.921248144425316,309647520
2000-04-11,19.051471710205078,19.334214221983828,18.66101728584895,19.280357546416926,136676715
2000-04-12,18.20055389404297,19.388073864176366,18.00936682415431,19.22650667787868,241770257
2000-04-13,16.746448516845703,17.83164102246884,16.746448516845703,17.83164102246884,3153974
2000-04-14,16.746448516845703,16.746448516845703,16.746448516845703,16.746448516845703,0
2000-04-17,16.070560455322266,16.199814790281522,15.408133786852156,15.408133786852156,223113571
2000-04-18,16.159427642822266,16.63605044291295,15.833598733151433,16.000551937568083,122899571
2000-04-19,16.956483840942383,17.451957258601386,16.323680056225918,16.571416765055417,228183965
2000-04-20,18.189786911010742,18.313655302755485,16.654896908015235,16.85685592965188,271517327
2000-04-21,18.189786911010742,18.189786911010742,18.189786911010742,18.189786911010742,0
2000-04-24,18.146699905395508,19.42038951364906,17.3954121492101,18.63409447639234,246733265
2000-04-25,17.882802963256836,18.284027894334876,16.784145675503225,17.357709681628055,221403241
2000-04-26,19.277673721313477,19.31537254616166,18.310961976033536,18.310961976033536,238053151
2000-04-27,18.615243911743164,19.711208383926216,18.219403439224624,19.43115878406041,413796521
2000-04-28,18.582931518554688,18.951843656278818,18.32711583951424,18.714877387018984,188028343
2000-05-01,18.582931518554688,18.582931518554688,18.582931518554688,18.582931518554688,0
2000-05-02,17.726625442504883,19.099948168571018,17.516588932255306,18.741807902698525,230017702
2000-05-03,17.66468620300293,17.979741571995934,16.65219709314957,17.610829526971184,192704191
2000-05-04,18.1601619720459,18.46983288982998,17.826257127329935,17.826257127329935,158631859
2000-05-05,18.060529708862305,18.394436005787448,17.67007518252278,18.230175835662248,156073814
2000-05-08,17.44926643371582,18.149391876487126,17.357712364861786,17.826257499379377,82504670
2000-05-09,17.68354034423828,17.872035883721356,17.14767504939566,17.314628200407615,85940035
2000-05-10,17.516584396362305,18.036291737952563,17.411565449153528,17.772398600234673,93165917
2000-05-11,17.058813095092773,17.451959147382478,16.9107093616451,17.451959147382478,90033846
2000-05-12,17.01304054260254,17.36848788526147,16.873015701080185,17.212306607901382,57913070
2000-05-15,17.2069149017334,17.486964491226463,16.50678948944403,16.805689926100644,81188494
2000-05-16,17.09381866455078,17.33616943987069,16.964564342290803,17.233843461054057,43882418
2000-05-17,17.171905517578125,17.68622827722765,17.031880751739443,17.282308968260345,109270328
2000-05-18,16.700674057006836,17.220381536664984,16.539106845626524,17.12613447621213,75382294
2000-05-19,16.99688148498535,17.182682626295147,16.5471856986173,16.5875760627028,111574963
2000-05-22,16.82723617553711,17.066894024663327,16.64143358642757,16.856856065051318,43662227
2000-05-23,16.95110321044922,17.018421920438396,16.61450390627561,16.81915589192568,58389850
2000-05-24,16.843387603759766,17.12074563487841,16.69528388453466,16.891858330358996,56605367
2000-05-25,16.84608268737793,17.115361818202373,16.754527178703768,16.81915434272845,36653287
2000-05-26,17.042654037475586,17.126130602950543,16.749141007842454,16.953792954447508,49082689
2000-05-29,18.281335830688477,18.712182101294836,17.126130265623836,17.15305860708568,165326988
2000-05-30,18.515607833862305,18.626011293092013,18.154774700166893,18.35134769537059,79692753
2000-05-31,18.520999908447266,19.21573950429091,18.42405842917085,18.903375552465015,118366163
2000-06-01,18.26787757873535,18.628710839665832,18.103617382323097,18.424058838842598,75363108
2000-06-02,18.173622131347656,18.63408820151376,17.993204145550106,18.47252105839889,81875438
2000-06-05,18.26787757873535,18.949153734742367,18.117080837607745,18.187093969913395,151857297
2000-06-06,18.2463321685791,18.46444902716004,18.100921409044076,18.20324739252748,54887782
2000-06-07,18.20055389404297,18.547923632294346,18.108999826467432,18.305572852847817,52545769
2000-06-08,18.35673713684082,18.58023851411707,18.216712333571497,18.30557342568189,64426688
2000-06-09,18.375585556030273,18.994927381870305,18.25979612541716,18.413284373506325,172161391
